sponges	2014 2015 2016 2017 2018 2019 2020 2021
nematode	54 63 86 239
insects	1000 1003 1006 1007 1010 1011 1014 1015 11 1174 14 1889 1890 1891 274 2796 280 284 287 288 289 2940 2941 2942 2943 2944 2945 2951 3 306 308 314 3477 3478 5 6 927 929 932 955 956 957 959 960 961 962 964 969 970 971 974 975 976 978 986 987 988 989 994 999
lophotrochozoa	1984 1985 1986 1987 1988 1989 1990 1991 1992 1994 1995 1996 1997 1998 1999 2000 2685 2686 2687 2688 2689 2690 2691 2692 2693 2722
echinoderms	2002 2004 2005 2006 2007 2008 2009 2010 2011
fish	722 724 725 728 733 734 2187
birds_reptiles	1451 1460 1467 1559 1567 1641 1662 1669 1677 1729 1743 1744 1756 1759 1781 1784 1789 1791 1803 2131 2954
rodents	341 344 351 434 463 465 471 540 547 666 667 673 674 678 879 883
primates	1200 1226 1245 1250 1252 1253 1262 1265 1267 1269 1278 1288 1293 1323 1915 2278 3122 548 550 552 554 556 557 562 567 571 573 576 577 578 580 581 583 584 586 587 595 597 600 601 605 609 616 618 627 633 639 640 642 643 661 887 891 933 934 936 937 939 944
