LENGTH	sample4
0	4
1	1
2	0
3	1
4	1
5	0
6	1
7	0
8	0
9	0
10	1
11	0
12	1
13	0
14	0
15	0
16	0
17	0
18	1
19	0
20	0
21	0
22	1
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	32
45	38
46	45
47	915
48	1308
49	7650
50	0
